科目,2023年12月,2024年12月
現金及び預金,"10,270,500","11,475,228"
受取手形及び売掛金,"1,540,506","1,371,550"
商品及び製品,"2,974,910","2,956,840"
仕掛品,"51,853","49,402"
原材料及び貯蔵品,"199,545","200,564"
その他,"521,117","446,806"
貸倒引当金,"△1,649","△2,794"
流動資産合計,"15,556,783","16,497,597"
建物及び構築物,"2,328,766","2,316,194"
減価償却累計額,"△1,218,936","△1,254,058"
建物及び構築物（純額）,"1,109,829","1,062,135"
機械装置及び運搬具,"481,660","485,032"
減価償却累計額,"△418,633","△428,965"
機械装置及び運搬具（純額）,"63,026","56,066"
工具、器具及び備品,"1,017,296","1,015,949"
減価償却累計額,"△892,426","△891,033"
工具、器具及び備品（純額）,"124,869","124,915"
土地,"806,906","804,207"
リース資産,"259,782","320,107"
減価償却累計額,"△104,597","△229,646"
リース資産（純額）,"155,184","90,460"
その他,－,810
有形固定資産合計,"2,259,817","2,138,595"
無形固定資産,"15,235","15,958"
投資有価証券,"801,906","735,499"
繰延税金資産,"56,615","45,560"
その他,"218,779","193,512"
貸倒引当金,△242,△227
投資その他の資産合計,"1,077,058","974,344"
固定資産合計,"3,352,111","3,128,898"
資産合計,"18,908,894","19,626,496"
買掛金,"604,745","548,980"
未払金,"280,339","245,578"
未払法人税等,"250,070","269,189"
賞与引当金,"74,759","90,021"
役員賞与引当金,"24,075","27,255"
その他,"417,996","324,805"
流動負債合計,"1,651,987","1,505,830"
繰延税金負債,"81,925","51,700"
役員退職慰労引当金,"52,307","42,508"
退職給付に係る負債,"24,505","26,800"
その他,"76,802","34,143"
固定負債合計,"235,541","155,152"
負債合計,"1,887,528","1,660,983"
資本金,"1,047,542","1,047,542"
資本剰余金,"1,177,110","1,186,225"
利益剰余金,"14,182,372","14,765,985"
自己株式,"△273,786","△252,852"
株主資本合計,"16,133,238","16,746,901"
その他有価証券評価差額金,"170,598","232,167"
繰延ヘッジ損益,206,△604
土地再評価差額金,"△371,051","△371,051"
為替換算調整勘定,"1,088,373","1,358,100"
その他の包括利益累計額合計,"888,127","1,218,612"
純資産合計,"17,021,366","17,965,513"
負債純資産合計,"18,908,894","19,626,496"
