科目,2023年12月,2024年12月
税金等調整前当期純利益,"1,747,903","1,525,937"
減価償却費,"245,103","234,687"
貸倒引当金の増減額（△は減少）,"△5,648","1,056"
製品保証引当金の増減額（△は減少）,△468,－
役員退職慰労引当金の増減額（△は減少）,"1,602","△9,799"
退職給付に係る負債の増減額（△は減少）,"2,178","1,410"
受取利息及び受取配当金,"△53,562","△44,587"
支払利息,"3,761","2,106"
固定資産売却損益（△は益）,△79,△100
固定資産除却損,68,"3,176"
売上債権の増減額（△は増加）,"△228,454","207,528"
棚卸資産の増減額（△は増加）,"△140,541","122,813"
仕入債務の増減額（△は減少）,"19,738","△86,160"
未払金の増減額（△は減少）,"67,092",391
前受金の増減額（△は減少）,"△397,765","△5,209"
未収消費税等の増減額（△は増加）,"32,342","56,730"
未払消費税等の増減額（△は減少）,"23,862","△20,893"
その他,"56,626","△54,475"
小計,"1,373,761","1,934,611"
利息及び配当金の受取額,"51,331","44,356"
法人税等の支払額,"△612,539","△521,382"
その他,"△3,761","△2,106"
営業活動によるキャッシュ・フロー,"808,790","1,455,480"
定期預金の預入による支出,"△1,844,812","△1,378,309"
定期預金の払戻による収入,"1,215,172","1,562,992"
有形固定資産の取得による支出,"△84,474","△127,293"
無形固定資産の取得による支出,"△8,069","△8,429"
投資有価証券の取得による支出,"△100,000",－
投資有価証券の売却による収入,"102,840","135,758"
投資有価証券の償還による収入,"200,000","100,355"
投資有価証券の払戻による収入,"10,098","15,161"
差入保証金の差入による支出,"△52,989","△28,860"
その他,"1,173","46,087"
投資活動によるキャッシュ・フロー,"△561,062","317,464"
配当金の支払額,"△291,410","△456,086"
リース債務の返済による支出,"△77,626","△87,435"
財務活動によるキャッシュ・フロー,"△369,036","△543,521"
現金及び現金同等物に係る換算差額,"98,521","117,201"
現金及び現金同等物の増減額（△は減少）,"△22,786","1,346,624"
現金及び現金同等物の期首残高,"8,569,657","8,546,870"
現金及び現金同等物の期末残高,"8,546,870","9,893,495"
