科目,2023年12月,2024年12月
売上高,"12,872,437","12,383,109"
売上原価,"7,460,815","7,178,241"
売上総利益,"5,411,622","5,204,868"
販売費及び一般管理費,"3,743,234","3,815,626"
営業利益,"1,668,387","1,389,242"
受取利息,"41,476","35,508"
受取配当金,"12,086","9,078"
不動産賃貸料,"6,451","6,918"
為替差益,"3,325",－
投資事業組合運用益,"3,698","19,162"
固定資産売却益,150,100
物品売却益,"16,511",－
その他,"6,273","3,277"
営業外収益合計,"89,974","74,047"
支払利息,"3,761","2,106"
売上債権売却損,325,266
不動産賃貸原価,"5,333","5,370"
投資事業組合運用損,"6,468",－
為替差損,－,"3,593"
固定資産除却損,68,"3,176"
その他,"3,200",997
営業外費用合計,"19,158","15,511"
経常利益,"1,739,203","1,447,778"
投資有価証券売却益,"8,700","88,635"
特別利益合計,"8,700","88,635"
投資有価証券売却損,－,"10,475"
特別損失合計,－,"10,475"
税金等調整前当期純利益,"1,747,903","1,525,937"
法人税、住民税及び事業税,"519,365","528,027"
過年度法人税等,"76,327","6,363"
法人税等調整額,"△36,239","△48,153"
法人税等合計,"559,453","486,237"
当期純利益,"1,188,449","1,039,699"
親会社株主に帰属する当期純利益,"1,188,449","1,039,699"
