回次,第48期,第49期,第50期,第51期,第52期
決算年月,2020年12月,2021年12月,2022年12月,2023年12月,2024年12月
売上高 （千円）,"9,697,800","10,034,069","11,167,637","12,872,437","12,383,109"
経常利益 （千円）,"984,986","1,069,584","1,260,500","1,739,203","1,447,778"
"親会社株主に帰属する当期純
（千円）
利益","679,460","681,435","868,940","1,188,449","1,039,699"
包括利益 （千円）,"623,564","988,055","1,193,928","1,554,517","1,370,184"
純資産額 （千円）,"13,917,533","14,716,601","15,694,544","17,021,366","17,965,513"
総資産額 （千円）,"15,263,380","16,273,011","17,731,286","18,908,894","19,626,496"
１株当たり純資産額 （円）,"2,062.00","2,180.38","2,325.27","2,503.15","2,635.79"
１株当たり当期純利益金額 （円）,100.67,100.96,128.74,175.26,152.64
"潜在株式調整後１株当たり当
（円）
期純利益金額",－,－,－,－,－
自己資本比率 （％）,91.1,90.4,88.5,90.0,91.5
自己資本利益率 （％）,4.95,4.76,5.71,7.27,5.94
株価収益率 （倍）,17.41,16.95,11.05,8.73,9.45
"営業活動によるキャッシュ・
（千円）
フロー","1,271,155","515,538","835,632","808,790","1,455,480"
"投資活動によるキャッシュ・
（千円）
フロー","△197,836","△119,971","△913,714","△561,062","317,464"
"財務活動によるキャッシュ・
（千円）
フロー","△284,498","△214,351","△290,133","△369,036","△543,521"
"現金及び現金同等物の期末残
（千円）
高","8,470,753","8,797,416","8,569,657","8,546,870","9,893,495"
"従業員数
（人）
[外、平均臨時雇用者数]","281
[85]","269
[84]","266
[80]","269
[76]","260
[71]"
