回次,第48期,第49期,第50期,第51期,第52期
決算年月,2020年12月,2021年12月,2022年12月,2023年12月,2024年12月
売上高 （千円）,"8,290,420","8,328,541","8,836,676","9,441,330","9,632,370"
経常利益 （千円）,"644,918","530,900","1,023,293","1,189,773","1,417,723"
当期純利益 （千円）,"384,549","352,319","767,467","874,023","1,169,057"
資本金 （千円）,"1,047,542","1,047,542","1,047,542","1,047,542","1,047,542"
発行済株式総数 （株）,"7,028,060","7,028,060","7,028,060","7,028,060","7,028,060"
純資産額 （千円）,"11,255,793","11,426,797","11,990,282","12,763,398","13,567,177"
総資産額 （千円）,"12,424,423","12,625,013","13,384,671","14,159,348","15,018,396"
１株当たり純資産額 （円）,"1,667.64","1,692.97","1,776.46","1,876.98","1,990.49"
"１株当たり配当額
（円）
(うち１株当たり中間配当額)","28.00
(13.00)","30.00
(13.00)","35.00
(15.00)","62.00
(23.00)","57.00
(28.00)"
１株当たり当期純利益金額 （円）,56.97,52.20,113.71,128.89,171.63
"潜在株式調整後１株当たり当
（円）
期純利益金額",－,－,－,－,－
自己資本比率 （％）,90.6,90.5,89.6,90.1,90.3
自己資本利益率 （％）,3.43,3.11,6.55,7.06,8.88
株価収益率 （倍）,30.77,32.78,12.50,11.87,8.40
配当性向 （％）,49.15,57.47,30.78,48.10,33.21
"従業員数
（人）
[外、平均臨時雇用者数]","121
[36]","117
[36]","115
[39]","122
[36]","130
[33]"
"株主総利回り （％）
(比較指標：配当込みTOPIX) （％）","96.6
(107.4)","96.0
(121.1)","82.1
(118.1)","91.4
(151.5)","89.7
(182.5)"
最高株価 （円）,"1,900","1,894","1,717","1,619","1,860"
最低株価 （円）,"1,214","1,660","1,368","1,217","1,215"
